action,distance_to_goal,experiment,gamma,loss,orientation,reward,signal1,signal2,signal3,speed,time
-15,992.979858808828,1,0.96,,0.08788441081944523,-0.3,0.0,0.0,0.0,5,1
-15,987.9804757970984,1,0.96,,0.004988005386969995,-0.3,0.0,0.0,0.0,5,2
-15,983.1318193616936,1,0.96,,-0.0783200855383587,-0.3,0.0,0.0,0.0,5,3
-15,978.7689061253316,1,0.96,,-0.16204773139542522,-0.3,0.0,0.0,0.0,5,4
-15,975.1973827897856,1,0.96,,-0.2461735826135513,-0.3,0.0,0.0,0.0,5,5
-15,972.670472550892,1,0.96,,-0.3306469808991584,-0.3,0.0,0.0,0.0,5,6
-15,971.3690040479947,1,0.96,,-0.415390413415601,-0.3,0.0,0.0,0.0,5,7
-15,971.3866580879286,1,0.96,,-0.5003046712591236,-0.3,0.0,0.0,0.0,5,8
-15,972.7221614178962,1,0.96,,-0.5852764414770733,-0.3,0.0,0.0,0.0,5,9
-15,975.2793935737443,1,0.96,,-0.6701875961557222,-0.3,0.0,0.0,0.0,5,10
-15,978.8753933454532,1,0.96,,-0.7549250811862181,-0.3,0.0,0.0,0.0,5,11
-15,983.255275005892,1,0.96,,-0.8393901734056006,-0.3,0.0,0.0,0.0,5,12
-15,988.1123093185877,1,0.96,,-0.9235060157650564,-0.3,0.0,0.0,0.0,5,13
-15,993.1110286723492,1,0.96,,0.992777294342142,-0.3,0.0,0.0,0.0,5,14
-15,997.9111992484494,1,0.96,,0.9094803219276076,-0.3,0.0,0.0,0.0,5,15
-15,1002.1907823509123,1,0.96,,0.8265944461520501,-0.3,0.0,1.0,0.0,5,16
4,1005.6664459088133,1,0.96,,0.7440840852291359,-0.3,1.0,1.0,0.0,5,17
4,1009.3958643480652,1,0.96,,0.7674459678248224,-0.3,1.0,1.0,0.0,5,18
4,1013.358171359736,1,0.96,,0.7907203614997788,-0.3,1.0,1.0,1.0,5,19
9,1017.5314593449212,1,0.96,,0.8139023873650028,-0.3,1.0,1.0,1.0,5,20
9,1022.0890373479663,1,0.96,,0.8647656331956773,-0.3,1.0,1.0,1.0,5,21
9,1026.914349048211,1,0.96,,0.9154074693758564,-0.9,1.0,1.0,1.0,5,22
9,1022.4379238112947,1,0.96,,0.9165864466614968,-0.3,1.0,1.0,1.0,5,23
-15,1027.4308379705028,1,0.96,,-0.983010290876868,-0.9,1.0,1.0,1.0,5,24
-15,1023.5211316440049,1,0.96,,-0.9823449911168242,-0.3,1.0,1.0,1.0,5,25
9,1027.985058149973,1,0.96,,0.8509021399985793,-0.9,1.0,1.0,1.0,5,26
9,1024.1595180533789,1,0.96,,0.8523095033974609,-0.3,1.0,1.0,1.0,5,27
9,1029.1053863825916,1,0.96,,0.95300494295991,-0.9,1.0,1.0,1.0,5,28
9,1026.0767612607888,1,0.96,,0.9539260467520964,-0.3,1.0,1.0,1.0,5,29
-15,1031.004933968624,1,0.96,,-0.9458502212502232,-0.9,1.0,1.0,1.0,5,30
-15,1026.7505183306,1,0.96,,-0.945307362292736,-0.3,1.0,1.0,1.0,5,31
9,1031.4443374833727,1,0.96,,0.8877609410906209,-0.9,1.0,1.0,1.0,5,32
9,1027.4751359429256,1,0.96,,0.8890623570156788,-0.3,1.0,1.0,1.0,5,33
9,1032.4724759397948,1,0.96,,0.9895913499628208,-0.9,1.0,1.0,1.0,5,34
9,1029.019439377863,1,0.96,,0.9904019801609274,-0.3,1.0,1.0,1.0,5,35
-15,1033.8198873320953,1,0.96,,-0.9095513901781532,-0.9,1.0,1.0,1.0,5,36
-15,1029.2543458008424,1,0.96,,-0.9091371759678746,-0.3,1.0,1.0,1.0,5,37
9,1034.1122944769204,1,0.96,,0.9237607261587184,-0.9,1.0,1.0,1.0,5,38
9,1030.0247980350482,1,0.96,,0.92494098906008,-0.3,1.0,1.0,1.0,5,39
-15,1035.0090864422439,1,0.96,,-0.9746980227264942,-0.9,1.0,1.0,1.0,5,40
-15,1031.156193218424,1,0.96,,-0.9740062243972428,-0.3,1.0,1.0,1.0,5,41
9,1035.6771832387692,1,0.96,,0.8592012070820354,-0.9,1.0,1.0,1.0,5,42
9,1031.9704582651666,1,0.96,,0.860628531886028,-0.3,1.0,1.0,1.0,5,43
9,1036.9336937380922,1,0.96,,0.9612824308187968,-0.9,1.0,1.0,1.0,5,44
9,1033.982780099389,1,0.96,,0.9622205749733712,-0.3,1.0,1.0,1.0,5,45
-15,1038.8874605718634,1,0.96,,-0.9375971647795478,-0.9,1.0,1.0,1.0,5,46
-15,1034.679525786193,1,0.96,,-0.9370245860597836,-0.3,1.0,1.0,1.0,5,47
9,1039.4162881893558,1,0.96,,0.8960064053618587,-0.9,1.0,1.0,1.0,5,48
9,1035.556690116769,1,0.96,,0.89732910929955,-0.3,1.0,1.0,1.0,5,49
9,1040.5565730219694,1,0.96,,0.997816286294228,-0.9,1.0,1.0,1.0,5,50
9,1037.1719429895977,1,0.96,,0.9986477895023111,-0.3,1.0,1.0,1.0,5,51
-15,1041.9348310478115,1,0.96,,-0.9013456917789756,-0.9,1.0,1.0,1.0,5,52
-15,1037.4050033893252,1,0.96,,-0.9008986310560576,-0.3,1.0,1.0,1.0,5,53
9,1042.2917661471358,1,0.96,,0.931964740402945,-0.9,1.0,1.0,1.0,5,54
9,1038.303533770085,1,0.96,,0.9331677284227424,-0.3,1.0,1.0,1.0,5,55
-15,1043.2760221417732,1,0.96,,-0.9665127969115992,-0.9,1.0,1.0,1.0,5,56
-15,1039.4816255501164,1,0.96,,-0.965796307184404,-0.3,1.0,1.0,1.0,5,57
9,1044.0558141861445,1,0.96,,0.8673728197309231,-0.9,1.0,1.0,1.0,5,58
9,1040.4685012999769,1,0.96,,0.8688174356773165,-0.3,1.0,1.0,1.0,5,59
9,1045.4455706968663,1,0.96,,0.9694301433537684,-0.9,1.0,1.0,1.0,5,60
9,1042.5730795668026,1,0.96,,0.9703834464756604,-0.3,1.0,1.0,1.0,5,61
-15,1047.4514331232626,1,0.96,,-0.9294747225021772,-0.9,1.0,1.0,1.0,5,62
-15,1043.2919928873407,1,0.96,,-0.9288741821061256,-0.3,1.0,1.0,1.0,5,63
9,1048.0679301137288,1,0.96,,0.9041211086080972,-0.9,1.0,1.0,1.0,5,64
9,1044.3186913308484,1,0.96,,0.90546253317422,-0.3,1.0,1.0,1.0,5,65
-15,1049.3178340702657,1,0.96,,-0.9940914641396364,-0.9,1.0,1.0,1.0,5,66
-15,1046.002695591563,1,0.96,,-0.9932409461591132,-0.3,1.0,1.0,1.0,5,67
9,1050.3874435900016,1,0.96,,0.8400600806325659,-0.9,1.0,1.0,1.0,5,68
9,1047.1435688124018,1,0.96,,0.8416088315244882,-0.3,1.0,1.0,1.0,5,69
9,1052.0621293844079,1,0.96,,0.9423343065726985,-0.9,1.0,1.0,1.0,5,70
9,1049.758933793975,1,0.96,,0.9433939617587774,-0.3,1.0,1.0,1.0,5,71
-15,1054.7121909564455,1,0.96,,-0.9563378425768018,-0.9,1.0,1.0,1.0,5,72
-15,1050.993983697273,1,0.96,,-0.9555926975287656,-0.3,1.0,1.0,1.0,5,73
9,1055.6301119962015,1,0.96,,0.8775300570713391,-0.9,1.0,1.0,1.0,5,74
9,1052.1944586055895,1,0.96,,0.8789928291018471,-0.3,1.0,1.0,1.0,5,75
9,1057.18419627363,1,0.96,,0.9795541017848168,-0.9,1.0,1.0,1.0,5,76
9,1054.4117397091923,1,0.96,,0.9805239502897158,-0.3,1.0,1.0,1.0,5,77
-15,1059.2529800066516,1,0.96,,-0.9193837522735688,-0.9,1.0,1.0,1.0,5,78
-15,1055.1575397189133,1,0.96,,-0.9187503628276286,-0.3,1.0,1.0,1.0,5,79
9,1059.9778407732963,1,0.96,,0.9142021257966441,-0.9,1.0,1.0,1.0,5,80
9,1056.369041318058,1,0.96,,0.9155636544273792,0.2,1.0,1.0,1.0,5,81
9,1058.2322108002274,1,0.96,,0.9135942405669948,-0.9,1.0,1.0,1.0,5,82
9,1055.4821876158258,1,0.96,,0.9148566483183876,-0.3,1.0,1.0,1.0,5,83
-15,1060.1594687706224,1,0.96,,-0.8847448054727037,-0.9,1.0,1.0,1.0,5,84
-15,1056.3752404364436,1,0.96,,-0.8843111301415983,-0.3,1.0,1.0,1.0,5,85
9,1061.3102133020104,1,0.96,,0.9484866040903523,-0.9,1.0,1.0,1.0,5,86
9,1054.5572671596365,1,0.96,,0.9473561147421344,-0.3,1.0,1.0,1.0,5,87
-15,1059.5017170738506,1,0.96,,-0.9523954197136908,-0.9,1.0,1.0,1.0,5,88
-15,1055.8140501951616,1,0.96,,-0.9516398021621462,-0.3,1.0,1.0,1.0,5,89
9,1060.4729173319279,1,0.96,,0.8814653926376099,-0.9,1.0,1.0,1.0,5,90
9,1054.2796186334263,1,0.96,,0.8806894480754677,-0.3,1.0,1.0,1.0,5,91
9,1059.270980338272,1,0.96,,0.981242130845722,-0.9,1.0,1.0,1.0,5,92
9,1056.515476064216,1,0.96,,0.982214486846134,0.2,1.0,1.0,1.0,5,93
9,1058.894558934699,1,0.96,,0.9802057627440685,-0.9,1.0,1.0,1.0,5,94
9,1055.3312944966267,1,0.96,,0.9812666437695546,-0.3,1.0,1.0,1.0,5,95
-15,1059.5449210021677,1,0.96,,-0.8186446516491382,-0.9,1.0,1.0,1.0,5,96
-15,1054.902561859728,1,0.96,,-0.8184514920436787,-0.3,1.0,1.0,1.0,5,97
-15,1059.8977029997247,1,0.96,,-0.9859327580158092,-0.9,1.0,1.0,1.0,5,98
5,1055.8636300863413,1,0.96,,-0.9849748989822196,-0.3,1.0,1.0,1.0,5,99
9,1060.8232010642873,1,0.96,,0.9593984211154496,-0.9,1.0,1.0,1.0,5,100
9,1054.5828702329918,1,0.96,,0.9584672258532456,-0.3,1.0,1.0,1.0,5,101
-15,1059.498592977166,1,0.96,,-0.941336416750562,-0.9,1.0,1.0,1.0,5,102
-15,1055.6705404880597,1,0.96,,-0.9406204910983008,-0.3,1.0,1.0,1.0,5,103
9,1060.3890493937038,1,0.96,,0.8924332298142293,-0.9,1.0,1.0,1.0,5,104
9,1054.3403982014092,1,0.96,,0.8918005591865786,-0.3,1.0,1.0,1.0,5,105
9,1059.3389437094638,1,0.96,,0.9923038494224924,-0.9,1.0,1.0,1.0,5,106
9,1056.418342146955,1,0.96,,0.9932428543431828,0.2,1.0,1.0,1.0,5,107
9,1058.9662232984897,1,0.96,,0.9913096826332356,-0.9,1.0,1.0,1.0,5,108
9,1055.2818801511846,1,0.96,,0.9923321880618484,-0.3,1.0,1.0,1.0,5,109
-15,1059.4000663402687,1,0.96,,-0.8076314848177288,-0.9,1.0,1.0,1.0,5,110
-15,1054.6339951533114,1,0.96,,-0.8074796703086943,-0.3,1.0,1.0,1.0,5,111
-15,1059.6186598796812,1,0.96,,-0.9750044346742366,-0.9,1.0,1.0,1.0,5,112
-15,1055.560148014771,1,0.96,,-0.9740985431413762,-0.3,1.0,1.0,1.0,5,113
9,1060.080491273394,1,0.96,,0.8591122349631748,-0.9,1.0,1.0,1.0,5,114
9,1054.141196541933,1,0.96,,0.8584672258532456,-0.3,1.0,1.0,1.0,5,115
9,1059.1002054864914,1,0.96,,0.9591166415677636,-0.9,1.0,1.0,1.0,5,116
9,1056.6849546922708,1,0.96,,0.960152042502487,0.2,1.0,1.0,1.0,5,117
9,1058.7175613734469,1,0.96,,0.957999677265455,-0.9,1.0,1.0,1.0,5,118
9,1055.4095014760987,1,0.96,,0.9591333780210508,-0.3,1.0,1.0,1.0,5,119
-15,1059.7988383977793,1,0.96,,-0.8406735478724608,-0.9,1.0,1.0,1.0,5,120
-15,1055.4211279263627,1,0.96,,-0.8403985764717008,-0.3,1.0,1.0,1.0,5,121
9,1060.4196377160924,1,0.96,,0.9922099386350928,-0.9,1.0,1.0,1.0,5,122
9,1056.4499511847048,1,0.96,,0.9932680575476728,0.2,1.0,1.0,1.0,5,123
9,1058.9662232984897,1,0.96,,0.9913096826332356,-0.9,1.0,1.0,1.0,5,124
9,1055.2818801511846,1,0.96,,0.9923321880618484,-0.3,1.0,1.0,1.0,5,125
-15,1059.4000663402687,1,0.96,,-0.8076314848177288,-0.9,1.0,1.0,1.0,5,126
-15,1054.6339951533114,1,0.96,,-0.8074796703086943,-0.3,1.0,1.0,1.0,5,127
-15,1059.6186598796812,1,0.96,,-0.9750044346742366,-0.9,1.0,1.0,1.0,5,128
-15,1055.560148014771,1,0.96,,-0.9740985431413762,-0.3,1.0,1.0,1.0,5,129
9,1060.080491273394,1,0.96,,0.8591122349631748,-0.9,1.0,1.0,1.0,5,130
9,1054.141196541933,1,0.96,,0.8584672258532456,-0.3,1.0,1.0,1.0,5,131
9,1059.1002054864914,1,0.96,,0.9591166415677636,-0.9,1.0,1.0,1.0,5,132
9,1056.6849546922708,1,0.96,,0.960152042502487,0.2,1.0,1.0,1.0,5,133
9,1058.7175613734469,1,0.96,,0.957999677265455,-0.9,1.0,1.0,1.0,5,134
9,1055.4095014760987,1,0.96,,0.9591333780210508,-0.3,1.0,1.0,1.0,5,135
-15,1059.7988383977793,1,0.96,,-0.8406735478724608,-0.9,1.0,1.0,1.0,5,136
-15,1055.4211279263627,1,0.96,,-0.8403985764717008,-0.3,1.0,1.0,1.0,5,137
-17,1060.4196377160924,1,0.96,,0.9922099386350928,-0.9,1.0,1.0,1.0,5,138
9,1056.4499511847048,1,0.96,,0.9932680575476728,0.2,1.0,1.0,1.0,5,139
9,1058.9662232984897,1,0.96,,0.9913096826332356,-0.9,1.0,1.0,1.0,5,140
9,1055.2818801511846,1,0.96,,0.9923321880618484,-0.3,1.0,1.0,1.0,5,141
-15,1060.225583144929,1,0.96,,-0.9520759292621732,-0.9,1.0,1.0,1.0,5,142
-15,1056.2544094869097,1,0.96,,-0.951286892671258,-0.3,1.0,1.0,1.0,5,143
9,1060.9152723823238,1,0.96,,0.8818167460536199,-0.9,1.0,1.0,1.0,5,144
9,1054.2796186334263,1,0.96,,0.8806894480754677,-0.3,1.0,1.0,1.0,5,145
9,1059.270980338272,1,0.96,,0.981242130845722,-0.9,1.0,1.0,1.0,5,146
9,1056.515476064216,1,0.96,,0.982214486846134,0.2,1.0,1.0,1.0,5,147
9,1058.894558934699,1,0.96,,0.9802057627440685,-0.9,1.0,1.0,1.0,5,148
9,1055.3312944966267,1,0.96,,0.9812666437695546,-0.3,1.0,1.0,1.0,5,149
8,1059.5449210021677,1,0.96,,-0.8186446516491382,-0.9,1.0,1.0,1.0,5,150
-15,1054.902561859728,1,0.96,,-0.8184514920436787,-0.3,1.0,1.0,1.0,5,151
-15,1059.4164734259132,1,0.96,,-0.8581549802380315,-0.9,1.0,1.0,1.0,5,152
-15,1054.6817227781974,1,0.96,,-0.8577587508241761,-0.3,1.0,1.0,1.0,5,153
9,1059.666286812739,1,0.96,,0.9749224690911812,-0.9,1.0,1.0,1.0,5,154
9,1055.7478119751386,1,0.96,,0.976050195487268,-0.3,1.0,1.0,1.0,5,155
-15,1060.6060245379995,1,0.96,,-0.9238364857165507,-0.9,1.0,1.0,1.0,5,156
-3,1056.5825692768287,1,0.96,,-0.9231789812423148,0.2,1.0,1.0,1.0,5,157
-15,1059.1382452799703,1,0.96,,-0.9253914360120652,-0.9,1.0,1.0,1.0,5,158
-15,1054.7003370381374,1,0.96,,-0.9246930815398772,-0.3,1.0,1.0,1.0,5,159
9,1058.8243408833605,1,0.96,,0.8082865665635336,-0.9,1.0,1.0,1.0,5,160
9,1055.6391195177346,1,0.96,,0.809973903316735,0.2,1.0,1.0,1.0,5,161
9,1056.4344118336312,1,0.96,,0.8081630807935317,-0.3,1.0,1.0,1.0,5,162
9,1061.3932206859176,1,0.96,,0.959017053378184,-0.9,1.0,1.0,1.0,5,163
9,1054.5828702329918,1,0.96,,0.9584672258532456,-0.3,1.0,1.0,1.0,5,164
-15,1059.498592977166,1,0.96,,-0.941336416750562,-0.9,1.0,1.0,1.0,5,165
-15,1055.6705404880597,1,0.96,,-0.9406204910983008,-0.3,1.0,1.0,1.0,5,166
9,1060.3890493937038,1,0.96,,0.8924332298142293,-0.9,1.0,1.0,1.0,5,167
2,1054.3403982014092,1,0.96,,0.8918005591865786,-0.3,1.0,1.0,1.0,5,168
9,1059.2871979601966,1,0.96,,0.9534149605336034,-0.9,1.0,1.0,1.0,5,169
9,1056.564380109847,1,0.96,,0.9545098971346736,0.2,1.0,1.0,1.0,5,170
9,1058.6663755958607,1,0.96,,0.9524485144417656,-0.9,1.0,1.0,1.0,5,171
9,1055.4247195104842,1,0.96,,0.9535995685805302,-0.3,1.0,1.0,1.0,5,172
-15,1059.8547469907858,1,0.96,,-0.8461813903093311,-0.9,1.0,1.0,1.0,5,173
-15,1055.5466689678951,1,0.96,,-0.8458861859723581,-0.3,1.0,1.0,1.0,5,174
9,1060.5423551256142,1,0.96,,0.986745316483201,-0.9,1.0,1.0,1.0,5,175
9,1056.591959812785,1,0.96,,0.9878276890805364,0.2,1.0,1.0,1.0,5,176
9,1058.9318040651194,1,0.96,,0.9857576486567688,-0.9,1.0,1.0,1.0,5,177
9,1055.307440571811,1,0.96,,0.9867995009268228,-0.3,1.0,1.0,1.0,5,178
-15,1059.4739676197016,1,0.96,,-0.8131379736173188,-0.9,1.0,1.0,1.0,5,179
-8,1054.7690184639605,1,0.96,,-0.8129654552897334,-0.3,1.0,1.0,1.0,5,180
-15,1059.6854367772696,1,0.96,,-0.9415797029333388,-0.9,1.0,1.0,1.0,5,181
-15,1055.4276950397984,1,0.96,,-0.9408159565567901,-0.3,1.0,1.0,1.0,5,182
9,1060.1451943433638,1,0.96,,0.8922386100078369,-0.9,1.0,1.0,1.0,5,183
9,1054.3403982014092,1,0.96,,0.8918005591865786,-0.3,1.0,1.0,1.0,5,184
9,1059.3389437094638,1,0.96,,0.9923038494224924,-0.9,1.0,1.0,1.0,5,185
9,1056.418342146955,1,0.96,,0.9932428543431828,0.2,1.0,1.0,1.0,5,186
9,1058.9662232984897,1,0.96,,0.9913096826332356,-0.9,1.0,1.0,1.0,5,187
12,1055.2818801511846,1,0.96,,0.9923321880618484,-0.3,1.0,1.0,1.0,5,188
-15,1059.246324295163,1,0.96,,-0.790964818151062,-0.9,1.0,1.0,1.0,5,189
