,Blue_mean,diameter_10_size,diameter_15_size,diameter_20_size,diameter_30_size,file_name,green_mean,red_mean,size,x_max,x_min,y_max,y_min,z_max,z_min,file_size
0,48.435641563533764,0.9515791040778189,0.9610429330901075,0.9723580498967868,0.9897218333949918,101 sharps.las,49.46335166605427,62.25930486489551,7160421,121.233566311068,-113.555748071403,130.87271124835402,-129.75357048835198,127.054985088088,-9.307253818136,232
1,52.68500026926483,0.7878599684240329,0.9186833536215053,0.95141582648041,0.977575571441292,104 sharps.las,58.30311768686046,67.12485890256185,7501908,136.204605225772,-120.68251037337801,114.09366603373704,-131.288879516947,489.29138179643996,291.97152702396,243
2,52.691193095058004,0.46647510562351396,0.8869348540116582,0.9265687484057651,0.9733351098619293,118 Dunse.las,53.61591627650411,67.36768535316563,10612457,130.24765021390198,-146.086593512686,129.23027030621196,-137.870788456008,148.439269956871,-34.207408949703,344
3,55.990525843213575,0.7462893219233961,0.8972093824215318,0.9305005452118272,0.9649808286722505,119 Dunse.las,58.599179636459866,72.2217743561371,9250533,135.320785487321,-85.320098896795,157.45532233458604,-143.510818517502,143.88133243289798,-20.752677939044002,299
4,160.82491006477278,0.7057261361920879,0.9379068422890695,0.9692962573293777,0.9909462135347844,184 Big Hill.las,160.8251056876071,160.82607001775713,9068471,107.99768841289597,-141.06657410056002,114.78874962125,-123.186737037625,581.698120061024,390.946594270496,294
5,78.03746423784736,0.8471414612647683,0.9196319658907494,0.9517904544283045,0.9837956146826856,57 Bambra Aireys.las,81.73099027855024,93.70821396563828,7787213,131.435165502664,-92.321578966842,140.93763721808597,-138.555297939538,96.149353059204,-48.729564649524,252
6,60.20046704896154,0.8244494791559377,0.9151069693339731,0.9563653776595604,0.9862200762234401,60 Bambra aireys.las,68.32795976915924,81.8027132432847,8689453,94.04103094106,-94.62402339446,117.75327293483998,-127.69169613909,105.52770230936001,-18.80678943161,281
7,45.43063900092308,0.8588499623196354,0.9224122847796042,0.9598437353500665,0.9891411505280547,84ish seaview.las,49.57746061019045,64.42732171656128,10196292,140.89848325729602,-110.435279734742,148.08673090811897,-105.534111085998,581.265197736567,380.924133226765,330
8,38.89645268974896,0.29173778230504926,0.6468341410260151,0.9261233594013385,0.9854293341102988,85 Seaview.las,40.43555073873172,56.03372477944444,13261851,109.102272056065,-100.333045866265,161.55529777611397,-146.167205866687,562.494140689145,388.589325028445,430
9,54.0606090710182,0.7709721001143343,0.9040993728688969,0.9533402151525351,0.9760392428798125,94 seaview.las,59.893684148513714,73.30327030877754,10659972,104.76739495063003,-137.533645513637,113.12549581219601,-104.62274175087201,141.41239928923,-36.271072459135,345
10,55.04567125232713,0.801085491161621,0.9327524578326093,0.9671332677939276,0.9885587163003887,95 seaview.las,56.99630291876932,69.35696758988276,9533196,123.707023626548,-114.945220991752,115.645278920908,-130.316757235506,93.893066401152,-19.755294772192,309
11,46.926035463442275,0.7690893583480529,0.9429245102193781,0.9742238436601417,0.9903343967081233,carpark.las,52.252532576441304,66.30160838400279,5764979,127.257423406,-91.6922148886,102.40975200391999,-127.215858550384,20.2086753947986,-12.996724140325801,186
12,61.450651663047495,0.4724755469414892,0.9043035605909298,0.9682061369943029,0.9887560937072031,SP01.las,59.35441785321481,72.35587883629749,12942655,153.668594280732,-145.534454489357,136.21093754056,-158.40856926556,305.477813752406,83.664756746465,419
13,63.64204528974864,0.891881437042154,0.953230078947841,0.9681760805965142,0.9884349577797074,SP02 Big Hill.las,67.37749984940106,76.42911985306219,9412417,152.24064647039503,-148.12429796208,143.93594374499,-152.142669575836,142.964050385688,-46.292202081816,305
14,54.98063111641084,0.758654829273843,0.9294039004609693,0.9569932040945652,0.9840827988393479,SP03_Stony.las,66.7384044849409,79.25251508100432,8859158,139.150772170589,-124.84602349573301,142.08735648773603,-122.950424325838,400.13308718499997,282.632629405,287
15,50.9005364817538,0.8125989386867847,0.9158770752083201,0.9287193913432645,0.972760479935213,SP04_Gentle_Annie_Creek.las,55.71904638095035,67.89868735303938,7038450,125.84967045561402,-128.303787273939,113.838691734859,-142.408096348872,314.269287060475,151.44418334095,228
16,51.37213589470325,0.6514568836434569,0.932238880838721,0.9645853140495937,0.9883688036043272,SP06_Gentle_Annie.las,55.51764427599734,71.48682655299959,9600904,92.214164750745,-141.474624695466,118.12936391141797,-121.12884520007401,361.667907688725,185.83740230132798,311
17,143.58167337312605,0.81786692040759,0.9052229901753049,0.9393854034917745,0.9761058919096783,SP08 Bambra Aireys nearIronbark.las,143.58186552719434,143.58274283181572,10387498,141.47097765331202,-145.02537530976,130.00495903845604,-112.371330358488,427.907684319812,276.94338994001197,336
18,143.58167337312605,0.81786692040759,0.9052229901753049,0.9393854034917745,0.9761058919096783,SP08_Bambra_Aireys_nearIronbark.las,143.58186552719434,143.58274283181572,10387498,141.47097765331202,-145.02537530976,130.00495903845604,-112.371330358488,427.907684319812,276.94338994001197,336
19,66.9371281720838,0.7571342391350525,0.9475474484972337,0.975666807282023,0.993091897455352,SP09_Coalmine_ck.las,68.95926567553126,80.07531594249758,8709338,124.91867835505202,-97.36498266184799,130.05627447610598,-136.876342741972,242.95291136502078,145.95646664968038,282
20,60.26185305997111,0.8878146376007796,0.9436694376814138,0.9663258516979646,0.9890894993546833,SP10_Moggs_Creek.las,61.37156317053665,73.08608807154573,5744466,145.14439396587002,-151.78540026164,142.05531309237995,-107.420684911812,57.5513763489204,-38.5912094219748,186
21,152.1296234299529,0.969187823279247,0.9867419901514453,0.9950410858086002,0.998864629728475,SP13_Garvey.las,152.12983089241465,152.13098429770733,8372599,149.144378775417,-130.81239305962802,129.641174232948,-147.80014038514602,332.397460992284,156.71086120727,271
22,68.25975395507776,0.9496775432550312,0.9701271952369838,0.9820479129837141,0.9952135088615972,SP14_Garvey.las,77.78358471460959,83.39381231025003,8195983,150.411316062048,-144.422973759774,147.23854060582,-138.098999143986,147.63177497574398,-45.90412515968,265
